"name","lat","long"
"Kerwa Dam","23.16641800","77.37238299"
"Main market","17.92531230","73.65748550"
"KR Nagar","12.44001229","76.38109219"
"Safdarjung Airport","28.58340859","77.20725489"
"Delhi Alwar Highway","27.98888900","76.38833300"
"Cherai Beach","10.14159500","76.17828299"
"Sector 34","30.71955489","76.76394990"
"Nager Bazar","22.62101200","88.41434900"
"Lighthouse Beach","8.385745   ","76.97847699"
"Amanaka","21.25167199","81.59500099"
"IICM","23.42724289","85.31329859"
"Dr Shyama Prasad Mukherjee Stadium","15.4579062 ","73.84108779"
"Near Panipat Refinery","29.47370859","76.88074369"
"Kharakvasla","18.44541279","73.78014469"
"Kammanahalli","13.0155759 ","77.63821076"
"St Stephen's Hospital Delhi","28.66639290","77.21445140"
"Rose Garden","30.74610849","76.78198079"
"Jhoomer Ghat","22.61802000","75.80903999"
"Science City","22.54208530","88.39720839"
"Jim Corbett National Park Bijrani Gate","29.44310000","78.99454000"
"Hosdrug","12.91414170","74.85595680"
"Steel Plant","21.19689999","81.38320000"
"Aecs Layout","12.96293539","77.71229959"
"Varanasi Junction Railway Station","25.31764520","82.97391439"
"Mantri Square Mall","12.99172289","77.57055320"
"Rajguru Road","29.16128000","75.72317999"
"Keventers","27.04205909","88.26657810"
"Baga Beach","15.55607200","73.75122100"
"Feroz Shah Kotla Stadium","28.63773829","77.24302369"
"Barli","25.93771999","74.71827000"
"Zirakpur","30.64246100","76.81242199"
"Police Lines","30.37226850","76.79193990"
"Taj Mahal Western Gate","27.1710943 ","78.04013709"
"Kurali","30.83265510","76.57957899"
"Jamia Millia Islamia University","28.56113600","77.27989800"
"Railway Station","30.10766710","78.28794249"
"Adarsh Nagar","26.90183550","75.82719509"
"Naukuchiatal","29.32200999","79.58351999"
"Eluru Road","16.51821899","80.64844800"
"Haji Ali Dargah","18.98014470","72.80979829"
"UPES","30.41649719","77.96718559"
"ITC Sonar","22.54462799","88.39527200"
"Somajiguda","17.42370160","78.45838879"
"Mahalakshmi Temple","18.97735730","72.80651819"
"Cox Town","12.99546589","77.62340530"
"Kachiguda Railway Station","17.39064709","78.50090930"
"Shivalik Nagar","29.93510600","78.07356199"
"Gaushala","27.70849589","85.34656970"
"Ranapratapnagar Railway Station","24.58267550","73.72861600"
"Bus Stand","25.43006640","78.63035469"
"Infant Jesus Church","12.95367330","77.61876770"
"Fairland","11.67187999","78.14361999"
"Airport","32.68760000","74.83880000"
"Anjuna Beach","15.57360000","73.74070600"
"Padmavathi Temple","13.60791000","79.44986000"
"Ruby Hospital","22.51354900","88.40191000"
"Sector 20","30.7213417 ","76.78125959"
"Old Mumbai Agra Road","19.69368250","73.54937139"
"Huda City Center Metro","28.45910999","77.07255000"
"Main Market","32.23729999","76.32410000"
"Bannerghatta Road","12.86681880","77.59261777"
"Cosmos Mall","12.96606049","77.71786720"
"PWTC","3.168692000","101.6916520"
"Bhagwan Talkies","27.21039610","78.00513589"
"Near Lakhota Palace","22.46660909","70.06668899"
"LIC","13.04812970","80.17372709"
"Teghoria","22.62306999","88.43294099"
"Ambience Mall","28.54121620","77.15488589"
"Airport","11.64871280","92.73398779"
"Kanjurmarg West","19.13269000","72.92543000"
"Miraj","16.81650150","74.64247279"
"Kala Academy Goa","15.4942484 ","73.81768239"
"Thivim railway station","15.63018989","73.87673069"
"Rampura Circle","24.585445  ","73.71247900"
"Mansarovar","26.84968280","75.76918630"
"Gun Hill","30.45932000","78.07426999"
"Forum Mall","17.48411430","78.38890560"
"Sadashivanagar","13.00681819","77.5812849 "
"Airport","19.09017649","72.86873909"
"Changodar","22.92111799","72.44009200"
"Prini","32.22323999","77.19595999"
"Berjaya Times Square","3.142373000","101.7098579"
"Kolathur","13.12040000","80.21429399"
"Bardi","21.11430000","79.10410000"
"Kokilaben Hospital","19.131221  ","72.82477400"
"A.B. Road","22.71828999","75.91431000"
"Akshardham","23.23195799","72.67409600"
"Lucknow","12.91651670","79.13249860"
"Green Ridge","10.07995999","77.06157000"
"Bus Stand","14.44109219","79.97749349"
"Kanpur Road","26.82792669","80.90980020"
"Bhavanipuram","16.53365009","80.59921249"
"Tapovan","30.33520000","78.08639999"
"Kanakapura Road","12.86039539","77.52918800"
"Sector 56","28.42620000","77.09680000"
"Vishal Nagar","18.58561999","73.78373000"
"Fatehpura","24.61413359","73.68557470"
"Padav Bus Stop","26.21237999","78.17630200"
"Sohna Road","28.41945469","77.10410039"
"Sector 66","28.60550999","77.37694000"
"Ramaiah Hospital Bangalore","13.02817409","77.56982539"
"KGMC","26.86625629","80.91354690"
"Cv Raman Nagar","12.98545419","77.66392480"
"Salisbury Park","18.49260999","73.87572000"
"Medical Square","21.13125000","79.09759999"
"Vaishnodevi Circle","23.13621810","72.54228919"
"Rajiv Gandhi Cancer Hospital Delhi","28.71647229","77.11093030"
"Alipore","22.52485000","88.33122000"
"Jankipuram- Sitapur","26.91771334","80.94453575"
"NESCO","19.15026900","72.85302489"
"Bangalore East Railway Station","12.97159869","77.59456269"
"Tapti Valley International School","21.27120079","72.71749199"
"Near Neelkanth Mahadev Temple","21.7195    ","73.04559989"
"Calicut Beach","11.26262280","75.76730949"
"Sunset View , Naddi","32.25046460","76.30510900"
"Dona Paula-North Goa","15.46080989","73.80955740"
"Isbt Bhopal","23.26992249","77.32915429"
"Sita Nagar","19.75424999","74.48673999"
"Fazal Ganj","26.45911999","80.30320000"
"Near RIICO Industrial Area Bhiwadi","28.20708919","76.85768199"
"Ganapathy","11.04940870","77.00936880"
"Railway Station","19.80876800","85.83934560"
"Bharat Mata Mandir","29.98498490","78.19192479"
"National Highway","32.23967999","77.18850999"
"Ooty-Coonoor Road","11.40204600","76.71542399"
"Integrated Industrial Estate","29.95501319","78.07089849"
"Central Hyderabad","17.42683299","78.45309699"
"Taj Mahal Eastern Gate","27.17116770","78.04321819"
"Pandri Bus Stop","21.25330999","81.64808999"
"Annamayya Circle","13.62269940","79.42379350"
"Gurukul Road","23.05246299","72.53367760"
"Silk Board","12.91785759","77.62452430"
"Lahartara","25.31658260","82.97263379"
"Jantar Mantar, Jaipur","26.9124336 ","75.78727089"
"Yerwada","18.55287799","73.87963700"
"Sector 14","28.47073999","77.04636999"
"Laxmi Nagar","21.12281000","79.06252000"
"Treasure Island","22.72129999","75.87860000"
"Chanakyapuri - South Delhi","28.59385320","77.18873639"
"Tirupati Jn","13.62875569","79.41917949"
"Geeta Mandir","23.01213429","72.59098840"
"Sunset Viev Naddi","32.25045999","76.30510999"
"Badami House","12.966189  ","77.58678786"
"Kalyani Nagar","18.54569899","73.90494099"
"Airport Malviya Nagar","26.82665000","75.80594999"
"Kalupur Railway Station","23.02674700","72.60084999"
"Airport","21.75378040","72.18342669"
"Shivala","25.29220349","83.00580650"
"Nilgiris","11.35300220","76.79590949"
"Shiv Nagar","19.76642999","74.48251000"
"Near Ankleshwar Railway Station","21.62461880","73.00123089"
"Mangalagiri","16.43774000","80.56459800"
"Lower lake","23.24849599","77.40624900"
"Nelson Manickam Road","13.0679064 ","80.22685199"
"Taltala","22.56122999","88.35827000"
"Near Kakinada Port","16.94561210","82.26104569"
"Ketti Valley","11.33949999","76.75459999"
"Tata Cancer Hospital Mumbai","19.00486700","72.84324530"
"Sushant Golf City","26.78813680","81.00508039"
"Delhi University","28.58425199","77.16382799"
"Near Somnath Bus Stand","20.88756580","70.40506849"
"Oberoi Mall","19.17384099","72.86046600"
"Ganeshguri","26.15404300","91.78212399"
"Vibhuti Khand","26.86617760","81.00644420"
"Saraswathipuram","12.30420200","76.63260699"
"Kamaraj Memorial Hall","13.04912599","80.24829330"
"Swargate Vicinity","18.52043030","73.85674369"
"Athani","10.15446999","76.35538999"
"Sree Padmanabhaswamy Temple","8.482777900","76.94359059"
"Swargashram","30.11676599","78.31188199"
"Near Meerut Railway Station","28.97876790","77.67498580"
"Navlakha","22.69985086","75.87962557"
"Kakkanad","10.01621199","76.34237000"
"CHL Hospital","22.73224199","75.88949900"
"Ujjain","23.15378000","75.78435000"
"Near Bareilly Bus Stand","28.26812969","79.16768020"
"Aarti Chowk","30.90031000","75.82684000"
"Pathardi Phata","19.94691999","73.76543999"
"Hingna Road","21.11255999","79.00567999"
"MG Road","22.71983030","75.86866000"
"Governorpet","16.51295999","80.62775999"
"Patamata","16.49503500","80.66182299"
"Nasik","19.76686330","74.47726140"
"Near Jhansi Railway Station","25.44523990","78.55266029"
"Adimali","10.01150430","76.95278360"
"Avinashi Road","11.02674000","77.02080999"
"RK Puram","28.56600750","77.17674350"
"Panambur Beach","12.95299999","74.80119999"
"JawaharRoad","22.29832400","70.80143400"
"Uppiliappan Temple","10.96149999","79.43210000"
"Guindy/Velachery","12.96741590","80.21993159"
"Race Course Road","11.00337000","76.97800999"
"Paras Hospital","28.45064400","77.08759600"
"Anna Salai","13.06500229","80.26002979"
"Mohan Nagar","21.15949270","79.08427650"
"new bus stand","11.93333999","79.81531999"
"Raj Ghat","28.65127389","77.25160479"
"Nehru Place","28.55033140","77.25018930"
"Kalyan","19.08225080","72.88120410"
"Fern Hill","11.39198589","76.66975669"
"Kamrej","21.26760000","72.96089999"
"Old City-Baluganj","27.16766540","78.01597119"
"Anjuna","15.58092000","73.74483999"
"Sathyabama University","12.87285490","80.22188409"
"Near Kanchenjunga Stadium","26.71335080","88.42736309"
"Woodland","22.53220100","88.32823600"
"Airport Road","23.29156000","77.35971999"
"Kempegowda International Airport","13.19863480","77.70659279"
"Pallimukku","8.875890000","76.62250000"
"Ashok Nagar","20.26526670","85.83710580"
"Kalakriti","27.16195120","78.05975499"
"V3S Mall","28.63733339","77.28639459"
"Kashmiri Gate ISBT","28.66865759","77.23009709"
"Patia","20.35482999","85.82986599"
"Near Trichy Railway Station","10.79470680","78.68484650"
"Embassy Riding School","13.17379419","77.59529290"
"Gandhi Nagar","26.21829999","78.17731000"
"Iscon Mall","23.03051299","72.50754009"
"Arcot Road","12.93782500","79.16462699"
"Varanasi Cantt","25.33235000","82.96896999"
"AJC Bose Road","22.58172400","88.37421600"
"Near Bhavnagar Railway Station","21.78197409","72.14124300"
"Beach","14.83112389","74.12509710"
"Immaculate Conception Church","15.49833300","73.82944399"
"Nayagaon","30.77609999","76.79430000"
"Mohali Cricket Stadium","30.69065610","76.73489680"
"Indiranagar","12.97189149","77.64115449"
"Airport","23.83394880","86.42600659"
"Lumbini Park","17.40966829","78.47299379"
"Cusat","10.04480000","76.32750000"
"Near The Mall","32.24450339","77.18955920"
"Bus Stand","21.86498879","84.02358739"
"High Court","26.19902000","78.19612999"
"Airport","26.7297075 ","94.18563249"
"Hoshiarpur Road","31.34678179","75.60072660"
"Fortis Hospital Bangalore","12.8945311 ","77.59890319"
"Naini","25.40707739","81.81574659"
"Lake Palace","24.57535100","73.68001599"
"Triveni Sangam","25.42312099","81.88140400"
"LBSNAA","30.47034000","78.05473999"
"Seethammadhara","17.74299399","83.31079099"
"St Philomena Church","12.32105999","76.65833000"
"Chetpet","13.07150000","80.24150000"
"Opposite Orchid International","19.99745330","73.78980230"
"Downtown Cafe","11.25878299","75.77531000"
"Govind Dev Ji Temple","26.92885060","75.82409020"
"Juhu","19.09882100","72.83207170"
"Kamothe","19.01662200","73.09660200"
"Nayagaon","30.77613219","76.79432289"
"Nayapalli-Jaydev Vihar","20.29331720","85.82187100"
"Maheshwar","22.17728999","75.58298000"
"Shaminala Jagatsukh","32.23962999","77.18871000"
"Lashkar","26.19733439","78.16849729"
"Balanagar","17.46500590","78.45099369"
"Aroor","9.873252000","76.302937  "
"Hadapsar","18.50891969","73.92602610"
"Egmore","13.07781420","80.25966150"
"House Boat Boarding Point","9.501367000","76.35267899"
"Saket Nagar","23.21483999","77.46016000"
"SMS Hospital","26.90537979","75.81584039"
"P Road","26.46809000","80.32659999"
"SSKM Hospital","22.53960209","88.34392909"
"Vadakkumnathan Temple","10.52431999","76.21446000"
"Bus Stand","8.391559199","76.97502509"
"Bhojpur","23.10017099","77.57948399"
"Sector 21","28.51340000","77.07229999"
"District Court","9.937633999","78.14272499"
"Phoenix Mall","26.79892329","80.89688800"
"Kottara Chowki","12.91081250","74.83566999"
"Park Street","22.55513699","88.35007099"
"Avenue Road","12.96856419","77.57900940"
"Bodakdev","23.03673399","72.51637080"
"Morjim Beach-North Goa","15.62719109","73.73114789"
"Soygaon","20.59448820","75.61644420"
"Near Panipat Bus Stand","29.39793059","76.96962080"
"Bus Stand","17.00116200","81.78926599"
"Gumti","26.46767820","80.31315650"
"Santragachi","22.58473499","88.26984299"
"ICFAI","17.42225780","78.21890120"
"Goa Medical College","15.46359999","73.85810999"
"Gokulam","12.32633399","76.63117330"
"Kodihalli","12.96112280","77.64724660"
"DR Rajkumar Road","12.99366829","77.55601299"
"Airport","23.07259000","72.62681000"
"LGB International Airport","26.16755789","91.70174489"
"Siliserh Lake","27.52695299","76.53006899"
"Venna Lake","17.93417000","73.66804999"
"Ocean Park","23.02235044","72.53489869"
"Near Thanjavur New Bus Stand","10.75007289","79.11239469"
"Sector 18","28.49450450","77.06928270"
"Maulana Azad Medical College","28.63570899","77.24009560"
"Punjabi Bagh","28.67375099","77.12733760"
"Gunfoundry","17.39618319","78.47732560"
"Guru Shikhar","24.66529999","72.78189999"
"Near Chittorgarh Fort","24.88700280","74.64472890"
"BMC Chowk","31.31766999","75.58602999"
"Rkdf University","23.31251130","77.35959219"
"NIMS","17.42190000","78.45199999"
"Dasaprakash","11.40025999","76.69844999"
"Kranti Chowk","19.87331379","75.32856200"
"Malleshwaram","13.00309999","77.56430000"
"Dhole Patil Road","18.53499000","73.87626000"
"Chennai City Center","13.0428704 ","80.27161859"
"Bijli Ghar","27.17861419","78.01609129"
"Beawar","26.10073369","74.31907470"
"Siripuram","17.72099770","83.31778280"
"Lal Bahadur Shastri Hospital","28.66915649","77.45375780"
"Dalai Lama Temple","32.23250000","76.32420000"
"Bus Stand","32.53855339","75.96668929"
"Periyar","9.603108799","77.16145799"
"Arya nagar","26.48363549","80.31877230"
"Nipania","22.76164209","75.92600109"
"Bus Stand","12.83514049","79.70510439"
"Amritapuri","9.094939999","76.48959999"
"Railway Station","27.56135799","76.62139600"
"Alpha One Mall  ","31.61959999","74.90770000"
"Delhi Gate","24.58537000","73.69504999"
"Jatni","20.17050959","85.70227488"
"Railway Station","24.87610000","74.62170000"
"Near Lingmala Waterfall","17.92211   ","73.69371999"
"Fort palace","27.99394249","76.38824329"
"BMS College","12.94160789","77.56688300"
"Lalbagh","12.95450944","77.58278647"
"Birla Ghat","29.94842799","78.16285619"
"Kumarakom Bird Sanctuary","9.630053999","76.42367000"
"Guduvanchery","12.84126149","80.07025550"
"Nakodar Road","31.30918000","75.57574999"
"Tinchuley","27.04404549","88.38092749"
"Karad","17.27365999","74.18040000"
"Memorial Hospital","23.30038860","77.41681610"
"Punjab Agricultural University","30.89951999","75.80400000"
"Pitampura","28.69536420","77.15354940"
"Ashok Nagar","24.58863279","73.70218010"
"Kanakadurga Temple","16.51533990","80.60588140"
"KR Market","12.96884099","77.57908369"
"Shanti Nagar Bus Stand","12.95434329","77.59221069"
"Tripunithura","9.948670999","76.34636600"
"Shankarpally","17.41011359","78.25279469"
"Hoshiarpur Road","31.34677999","75.60072999"
"Palace Ground","13.01028999","77.58394699"
"Lal Darwaja","21.20667179","72.83714689"
"Jhotwara","26.95643249","75.74125340"
"Darshan Museum","18.49728950","73.84698339"
"Apollo Hospital","28.54092500","77.28345600"
"Varanasi Railway Junction","25.31764520","82.97391439"
"Bus Stand","25.57711600","91.88343639"
"Madan Mahal","23.14846929","79.90166539"
"Chengalpattu","12.68294799","79.98276799"
"Garden City College","13.02517609","77.70735030"
"Sector 30","30.71629199","76.78702900"
"Parmarth Niketan","30.11919999","78.31237000"
"Airport","23.8388475 ","92.62417050"
"Shri Saibaba Sansthan Temple","19.75490740","74.47605950"
"India Habitat Centre","28.58991049","77.22521779"
"Tapovan","30.12913999","78.32441000"
"Nehru Zoological Park","17.34830469","78.44251079"
"Gomti Nagar","26.86233800","81.01996130"
"Victoria Memorial","22.57264599","88.36389499"
"Infopark","10.007104  ","76.36219099"
"Suburban Bus Stand","12.31264999","76.65842000"
"Bus Stand","28.97786029","79.40013729"
"Gangapur","20.03125040","73.70953649"
"Nileshwar","12.25618500","75.13206300"
"Dabagardens","17.71374720","83.29190719"
"Dagshai","30.73331479","76.77941789"
"Dilshad Garden","28.68440890","77.31521999"
"Rafi Ahmed Kidwai Road","22.55795499","88.35544199"
"Masjid India","3.151638999","101.6963860"
"Pachewar Garh Fort","26.47364400","75.31665999"
"Gopalapatnam","17.74797500","83.21791399"
"Ratanada","26.27394400","73.02742499"
"Kuvempunagar","12.28406649","76.62880590"
"Near Bhilwara Bus Stand","25.35245899","74.64040789"
"Vintage Collection of Classic Cars","24.585445  ","73.71247900"
"Vasant Kunj","28.52733519","77.15154529"
"Wardha Road","21.11011720","79.06994969"
"Central Bus Stand","19.87917290","75.31728940"
"Osmania Medical College","17.38227320","78.48285029"
"Galta Gate","26.91793529","75.85013859"
"E-square","18.51243120","73.87993670"
"Sakchi","22.80989999","86.20759999"
"Nachinola","15.58320259","73.85072789"
"Jaisamand Lake","24.26670000","74         "
"Fortis Hospital","28.70971049","77.16997589"
"Sai Temple","19.76615699","74.47803100"
"Dr S P Marg","22.71028049","75.87705880"
"Dargah E-Ala-Hazrat","28.36181789","79.40850000"
"Nanakeheda Bus Stand","23.15863500","75.78803299"
"Attapur","17.36777999","78.43286100"
"Chamarajapuram Railway Station","12.30035870","76.63982719"
"Sanasar","33.09282699","75.32275799"
"Nehu","25.61014600","91.90145300"
"Railway Station","12.76870530","75.20467809"
"Infocity","20.34356372","85.80406600"
"World Laparoscopy Hospital","28.49465019","77.09156169"
"Near APSRTC Bus Station","17.00116200","81.78926599"
"Ropeway, Mussoorie","30.45732789","78.07484300"
"Jadavpur University","22.48287350","88.39486700"
"Chandwaji (Delhi-Ajmer Bypass Road)","27.45099000","76.01896000"
"Ranchi Railway Station","23.34944799","85.33565600"
"Vidhan Sabha","21.26888980","81.6747163 "
"Bus Stand","29.09187379","77.11675259"
"Kalyanpur","26.50357999","80.24885999"
"Serenity Beach","11.97061000","79.84470000"
"Iiser","22.96384199","88.52450199"
"Kelambakkam","12.78981049","80.21389990"
"Supela","21.21079999","81.35169999"
"IIM","23.38333000","85.31651700"
"Indian Institute of Science, Bangalore","13.02186000","77.56713999"
"Sarwate Bus Stand","22.71430700","75.86868760"
"Ludhiana Bus Stand","30.89996999","75.84587999"
"Arambol","15.68712999","73.72131000"
"Lingaraj Temple","20.23823799","85.83375100"
"International Airport","8.483420100","76.91981939"
"Tis Hazari","28.66455990","77.21493300"
"Airport","27.48403679","95.02288969"
"WTC","13.01220720","77.55603209"
"Bus Stand","28.03910249","73.32481339"
"Bandra - Kurla","19.06878929","72.87026470"
"Mormugao Port","15.38034850","73.83499519"
"Lachung","27.68863599","88.74131099"
"Jagatsukh","32.20580919","77.20035509"
"Rabindra Sarobar","22.51214510","88.36369519"
"Pavilion Mall","3.149043999","101.7134659"
"Fortis Escort Hospital Delhi","28.55954249","77.27426769"
"Maninagar","22.99755499","72.60228600"
"Rohini","28.74947159","77.05653329"
"Bishop Cotton School","31.08530040","77.17375309"
"Churchgate","18.93220000","72.82640000"
"Raj Bhavan","27.05150120","88.26285989"
"Bangalore Highway","12.84843979","77.67049830"
"MG Road","28.48039999","77.07841999"
"Near Jamnagar Airport","22.46071140","70.01589599"
"Kachi Ghati","31.09127000","77.13916999"
"Navalur","12.84768745","80.22145007"
"Moti Bagh","28.58200460","77.17168409"
"66Ft Road","31.32601520","75.57618290"
"Indirapuram","28.64148499","77.37138559"
"Laxman Pura","26.21249999","78.17715599"
"Vasai East","19.39192800","72.83973199"
"Hong Kong Market","26.71583000","88.42499999"
"Gachibowli","17.44007999","78.34892000"
"Vasanth Nagar","12.99066280","77.59174278"
"Aamby Valley","18.62175470","73.40034049"
"Gb Pant Hospital","28.63875459","77.23479890"
"Alappuzha Railway Station","9.484934000","76.32221400"
"Railway Station","22.25088609","68.98039609"
"Golden Bridge","21.61681000","73.00090000"
"Sandakphu","27.05999999","88         "
"Udayagiri","12.32422350","76.68229289"
"Banke Bihari Temple","27.58259999","77.69639999"
"Civil Lines","23.17117999","79.95458000"
"Bus Stand","29.96257810","77.54196860"
"Borivali East","19.22406099","72.86664700"
"Poonamallee High Road","13.07902020","80.25599929"
"Viceroy's Arch","15.50575000","73.91370999"
"Sawai Madhopur","26.03777720","76.35215139"
"Diwanganj","23.42623820","77.57770309"
"Sector 44","30.71356460","76.75307610"
"Bhopal Railway station","23.26781000","77.41397999"
"Kovalam Bus Stand","8.382025999","76.99184599"
"Dr Shyama Prasad Mukherjee Indoor Stadium","15.4579062 ","73.84108779"
"Ashoka Vihar","23.25866909","77.42616959"
"Birla Mandir Temple, Jaipur","26.9124336 ","75.78727089"
"Kavali","14.91319999","79.99299999"
"Sector 27","30.72271489","76.79877589"
"Adajan","21.19256999","72.79973999"
"Bellary Chowrasta","15.82477800","78.02112300"
"Airport","25.44008140","81.73406660"
"Lal Darwaza","23.02673100","72.58090400"
"Electronic City","12.83993899","77.67700299"
"Near IPCL Reliance","21.68570790","72.57371870"
"Thudiyalur","11.08121829","76.94155800"
"Ernakulam Junction","9.969353999","76.29097000"
"Sector 11","30.75832360","76.78414429"
"HD Lama Road","27.04430650","88.26678850"
"Aravind Eye Hospital","11.03006740","77.03633670"
